id,text
1933461406441222208,@MOMMY_TICKET สนใจบัตร vip Blackpink Deadlines Bangkok 2025 ค่ะ
1933461405732384867,"RT @blinksunitedtwt: BLACKPINK IS COMING 
#BLACKPINK_DEADLINE https://t.co/J1boAPoMfa"
1933461395489816586,"RT @WBP1327__: แสดงว่ายังมีกั๊กเอาไว้อีกหรอ คืออาศัยจังหวะชุลมุนเวอร์ แต่ถ้ามฃใครยังไม่ได้ก็สู้อีกสักตั้งดูงีบ สู้ไปด่าไป 

#DEADLINE_IN_BA…"
1933461383066079307,"#チケット譲渡🎟️
BLACKPINK &lt;DEADLINE&gt; ワールドツアー in 台湾・高雄 tickets sale

VIP 5枚チケット 2枚.🎟️
-1列目、隣同士、最高の眺め
-証明書あり
-詳細はDMまたはLINEで.📥

#BLACKPINK_IN_KAOHSIUNG
#DEADLINE_IN_KAOHSIUNG"
1933461380041982151,"RT @portalblackpink: Em menos de 25 minutos as duas datas da DEADLINE TOUR no Estádio Nacional de Cingapura esgotaram!

Durante a turnê ant…"
1933461378376810650,RT @jisooswar: RIGHT AFTER @imablinkbitch SPOILERS????? OH BLACKPINK IS COMING
1933461376917553327,RT @lesblinkot4: omg this BLACKPINK pic 🔥 https://t.co/7jvPvjChlf
1933461372953899415,RT @GuuMdark: เดี๋ยวนะ  thaiticket ทำไมผมก็ไม่ได้ซักคอน กด blackpink มาตั้งแต่วันแรก ก็ไม่ได้เลย วันนี้เอะใจลองกดคอนอื่นดู ที่ว่างเยอะมาก…
1933461368981909984,"RT @JUSTCALLMENINGG: (E! News)
#LISA @wearelloud สมาชิกวง BLACKPINK คือผู้จุดกระแสความคลั่งไคล้เจ้า Labubu บนโลกออนไลน์ 

ความชื่นชอบของลิ…"
1933461362908557543,"RT @WBP1327__: แสดงว่ายังมีกั๊กเอาไว้อีกหรอ คืออาศัยจังหวะชุลมุนเวอร์ แต่ถ้ามฃใครยังไม่ได้ก็สู้อีกสักตั้งดูงีบ สู้ไปด่าไป 

#DEADLINE_IN_BA…"
1933461361268490451,"RT @lesblinkot4: después de tiempo regresó nuestro informante para darnos un spoiler sobre lo nuevo de BLACKPINK

ustedes qué creen que sig…"
